epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.199,2.69086,2.10801,1.34237,0.44456,0.23379,0.21755,0.07085,2.39445,1.50789,1.39887,0.0671755,0.00033156,0.00033156
2,208.932,2.44874,1.61779,1.2327,0.49533,0.27456,0.28024,0.10226,2.23587,1.447,1.33653,0.0341711,0.000660505,0.000660505
3,318.823,2.41036,1.53803,1.21573,0.61542,0.38118,0.40926,0.15547,2.10475,1.35742,1.32796,0.00116236,0.00098505,0.00098505
4,425.322,2.38927,1.45982,1.1884,0.61202,0.38593,0.40477,0.14255,2.14655,1.29766,1.31806,0.0009802,0.0009802,0.0009802
5,530.267,2.32486,1.40114,1.17614,0.66029,0.43533,0.4556,0.16656,2.09663,1.40455,1.30883,0.0009736,0.0009736,0.0009736
6,634.24,2.35361,1.41855,1.167,0.63972,0.43399,0.45308,0.15811,2.11962,1.33185,1.35908,0.000967,0.000967,0.000967
7,741.379,2.27293,1.38343,1.21162,0.61348,0.42998,0.43375,0.15231,2.06966,1.27494,1.29605,0.0009604,0.0009604,0.0009604
8,851.677,2.28641,1.34191,1.17005,0.64072,0.42438,0.44908,0.16348,2.04551,1.17919,1.28689,0.0009538,0.0009538,0.0009538
9,960.882,2.29499,1.36532,1.16217,0.58129,0.40692,0.3948,0.1277,2.17541,1.22053,1.2988,0.0009472,0.0009472,0.0009472
10,1070.44,2.31396,1.34656,1.14849,0.65419,0.45053,0.47122,0.17213,2.06568,1.17044,1.29563,0.0009406,0.0009406,0.0009406
11,1179.56,2.2295,1.30289,1.15329,0.68394,0.47914,0.51486,0.19825,1.96649,1.16587,1.25996,0.000934,0.000934,0.000934
12,1288.62,2.2227,1.30489,1.1447,0.69171,0.47376,0.50816,0.19812,1.9392,1.13835,1.24064,0.0009274,0.0009274,0.0009274
13,1398.48,2.24543,1.29606,1.13218,0.65787,0.4873,0.50862,0.19091,1.97963,1.17141,1.26947,0.0009208,0.0009208,0.0009208
14,1506.01,2.24915,1.28058,1.14452,0.70543,0.46591,0.50198,0.18611,2.03655,1.13955,1.29856,0.0009142,0.0009142,0.0009142
15,1618.63,2.19694,1.26093,1.13026,0.69516,0.48379,0.50558,0.18932,2.01894,1.19209,1.28975,0.0009076,0.0009076,0.0009076
16,1728.19,2.21766,1.2688,1.13216,0.68545,0.46524,0.49738,0.1778,2.07907,1.14445,1.31084,0.000901,0.000901,0.000901
17,1835.62,2.20009,1.25074,1.12347,0.68596,0.46474,0.50272,0.1945,1.99097,1.09482,1.27217,0.0008944,0.0008944,0.0008944
18,1943.82,2.17312,1.23522,1.14233,0.66778,0.49682,0.50166,0.19119,1.9695,1.22747,1.25169,0.0008878,0.0008878,0.0008878
19,2054.68,2.15514,1.2227,1.11076,0.71189,0.4995,0.52714,0.20562,1.97781,1.10706,1.27119,0.0008812,0.0008812,0.0008812
